Player,Points,GP,EFF,PER
Trae Young, 2155, 76, 2066, 27.2
DeMar DeRozan, 2118, 76, 1961, 25.8
Joel Embiid, 2079, 68, 2304, 33.9
Jayson Tatum, 2046, 76, 1971, 25.9
Nikola Jokic, 2004, 74, 2862, 38.7
Giannis Antetokounmpo, 2002, 67, 2343, 35.0
Luka Doncic, 1847, 65, 1940, 29.8
Devin Booker, 1822, 68, 1627, 23.9
Karl-Anthony Towns, 1818, 74, 2088, 28.2
Donovan Mitchell, 1733, 67, 1479, 22.1
Lebron James, 1695, 56, 1776, 26.2
Kevin Durant, 1643, 55, 1736, 25.3
Zach LaVine, 1635, 67, 1463, 21.8
Stephen Curry, 1630, 64, 1559, 24.4
Miles Bridges, 1613, 80, 1779, 22.2 
Ja Morant, 1564, 57, 1469, 23.2
Jaylen Brown, 1559, 66, 1386, 21.0
Pascal Siakam, 1551, 68, 1731, 25.5
Anthony Edwards, 1533, 72, 1356, 18.8
LaMelo Ball, 1508, 75, 1737, 23.2
Daris Garland, 1473, 68, 1471, 21.6
Julius Randle, 1447, 72, 1548, 21.5
Russell Westbrook, 1441, 78, 1553, 19.9
Dejounte Murray, 1438, 68, 1890, 27.8
James Harden, 1432, 65, 1782, 27.4